ID,PIDM,PAM,PAV,SUM,PAM2,PAV2,SUM2,PAA_OP,GPA,Eficiencia_Terminal,Nivel_colegiatura_prepa
345397,319279,731,674,1405,0,0,0,1,92.76,1,Prepa UDEM
345397,319279,731,674,1405,0,0,0,1,92.76,1,Prepa UDEM
345402,319284,720,586,1306,0,0,0,1,87.52,0,Prepa UDEM
345402,319284,720,586,1306,0,0,0,1,87.52,0,Prepa UDEM
345402,319284,720,586,1306,0,0,0,1,87.52,0,Prepa UDEM
345543,319425,686,529,1215,0,0,0,1,88.39,0,Prepa UDEM
345568,319450,762,666,1428,0,0,0,1,96.96,1,Prepa UDEM
345598,319480,534,592,1126,0,0,0,1,86.89,1,Prepa UDEM
345617,319499,621,518,1139,628,457,1085,2,81.98,1,Prepa UDEM
345650,319526,774,664,1438,0,0,0,1,92,1,Alto
345650,319526,774,664,1438,0,0,0,1,92,1,Alto
345650,319526,774,664,1438,0,0,0,1,92,1,Alto
345661,319537,607,543,1150,0,0,0,1,81.88,0,Medio
345679,319555,653,624,1277,0,0,0,1,92.33,1,Prepa UDEM
345687,319563,760,693,1453,0,0,0,1,93.53,1,Prepa UDEM
345696,319572,664,676,1340,0,0,0,1,91.22,1,Alto
345696,319572,664,676,1340,0,0,0,1,91.22,1,Alto
345732,319608,573,664,1237,0,0,0,1,85.95,1,Alto
345732,319608,573,664,1237,0,0,0,1,85.95,1,Alto
345733,319609,721,612,1333,0,0,0,1,92.07,1,Alto
345733,319609,721,612,1333,0,0,0,1,92.07,1,Alto
345740,319616,664,687,1351,0,0,0,1,87.09,1,Prepa UDEM
345806,319682,675,602,1277,0,0,0,1,91.24,1,Prepa UDEM
345815,319691,718,687,1405,0,0,0,1,92.3,1,Prepa UDEM
345882,319758,668,685,1353,0,0,0,1,92.72,1,Prepa UDEM
346013,319892,653,497,1150,0,0,0,1,86.46,1,Prepa UDEM
346053,319932,584,654,1238,0,0,0,1,91,1,Medio
346107,319986,658,618,1276,0,0,0,1,85.39,1,Prepa UDEM
346127,320006,594,560,1154,510,487,997,2,85,0,Medio
346149,320028,689,650,1339,0,0,0,1,95.13,1,Prepa UDEM
346225,320104,588,581,1169,0,0,0,1,82.37,1,Prepa UDEM
346233,320112,750,575,1325,0,0,0,1,92.87,1,Prepa UDEM
346354,320233,679,550,1229,0,0,0,1,81.17,1,Prepa UDEM
346363,320242,773,729,1502,0,0,0,1,89.78,1,Prepa UDEM
346365,320244,637,602,1239,0,0,0,1,81.54,1,Prepa UDEM
346370,320249,718,634,1352,0,0,0,1,84.22,1,Prepa UDEM
346380,320259,721,716,1437,0,0,0,1,92.93,1,Prepa UDEM
346433,320312,783,750,1533,0,0,0,1,97.37,1,Prepa UDEM
346465,320344,740,634,1374,0,0,0,1,93.52,1,Prepa UDEM
346470,320349,679,581,1260,0,0,0,1,86.7,0,Prepa UDEM
346481,320360,708,708,1416,0,0,0,1,86.4,1,Alto
346481,320360,708,708,1416,0,0,0,1,86.4,1,Alto
346488,320367,709,597,1306,0,0,0,1,89.42,1,Alto
346488,320367,709,597,1306,0,0,0,1,89.42,1,Alto
346489,320368,688,714,1402,0,0,0,1,95.59,1,Alto
346489,320368,688,714,1402,0,0,0,1,95.59,1,Alto
346503,320382,675,497,1172,0,0,0,1,95.93,1,Prepa UDEM
346517,320396,551,664,1215,0,0,0,1,82.52,1,Alto
346559,320438,762,729,1491,0,0,0,1,85.7,1,Bajo
346562,320441,675,581,1256,551,446,997,2,82,1,Medio
346562,320441,675,581,1256,551,446,840,2,82,1,Medio
346562,320441,675,581,1256,551,404,997,2,82,1,Medio
346562,320441,675,581,1256,551,404,840,2,82,1,Medio
346562,320441,675,581,1256,436,446,997,2,82,1,Medio
346562,320441,675,581,1256,436,446,840,2,82,1,Medio
346562,320441,675,581,1256,436,404,997,2,82,1,Medio
346562,320441,675,581,1256,436,404,840,2,82,1,Medio
346595,320474,642,634,1276,0,0,0,1,83.8,1,Prepa UDEM
346657,320536,573,529,1102,551,435,986,2,83.77,1,Alto
346657,320536,573,529,1102,551,435,986,2,83.77,1,Alto
346685,320564,679,612,1291,0,0,0,1,76.61,0,Alto
346685,320564,679,612,1291,0,0,0,1,76.61,0,Alto
346695,320574,783,624,1407,0,0,0,1,94.19,1,Prepa UDEM
346699,320578,632,645,1277,0,0,0,1,86.19,1,Alto
346699,320578,632,645,1277,0,0,0,1,86.19,1,Alto
346713,320592,521,581,1102,0,0,0,1,83.96,0,Prepa UDEM
346732,320611,730,661,1391,0,0,0,1,81.71,1,Alto
346732,320611,730,661,1391,0,0,0,1,81.71,1,Alto
346738,320617,584,643,1227,0,0,0,1,87.95,1,Alto
346738,320617,584,643,1227,0,0,0,1,87.95,1,Alto
346743,320622,718,571,1289,0,0,0,1,85.37,1,Alto
346743,320622,718,571,1289,0,0,0,1,85.37,1,Alto
346839,320719,731,529,1260,0,0,0,1,88.2,1,Prepa UDEM
346839,320719,731,529,1260,0,0,0,1,88.2,1,Prepa UDEM
346839,320719,731,529,1260,0,0,0,1,88.2,1,Prepa UDEM
346858,320738,679,575,1254,0,0,0,1,94.76,1,Prepa UDEM
346858,320738,679,575,1254,0,0,0,1,94.76,1,Prepa UDEM
346858,320738,679,575,1254,0,0,0,1,94.76,1,Prepa UDEM
347186,321068,686,571,1257,632,518,1150,2,93.3,1,Medio
347260,321143,773,518,1291,0,0,0,1,94,1,Medio
347299,321182,647,706,1353,0,0,0,1,89.13,1,Medio
347305,321188,710,685,1395,0,0,0,1,80.11,0,Alto
347313,321196,740,571,1311,0,0,0,1,89.72,1,Prepa UDEM
347354,321237,742,716,1458,0,0,0,1,94.89,1,Prepa UDEM
347365,321248,800,739,1539,0,0,0,1,97.41,1,Prepa UDEM
347375,321258,605,591,1196,0,0,0,1,79.96,1,Medio
347381,321264,662,559,1221,591,539,1130,2,78.97,0,Medio
347388,321271,679,683,1362,0,0,0,1,92.25,1,Medio
347398,321281,551,581,1132,0,0,0,1,89.74,1,Prepa UDEM
347408,321291,510,519,1029,457,550,1007,2,81.76,0,Prepa UDEM
347427,321310,729,718,1447,0,0,0,1,81.98,1,Prepa UDEM
347433,321316,647,664,1311,0,0,0,1,88,1,Medio
347436,321319,686,655,1341,0,0,0,1,89.18,1,Medio
347442,321325,642,676,1318,0,0,0,1,88.48,1,Prepa UDEM
347449,321332,708,624,1332,0,0,0,1,95.35,1,Prepa UDEM
347469,321348,616,508,1124,0,0,0,1,78.23,0,Alto
347469,321348,616,508,1124,0,0,0,1,78.23,0,Alto
347479,321358,563,560,1123,0,0,0,1,76.83,1,Alto
347498,321377,751,666,1417,0,0,0,1,87.11,1,Prepa UDEM
347515,321396,545,655,1200,0,0,0,1,82.21,1,Alto
347532,321410,616,550,1166,0,0,0,1,76.73,0,Alto
347532,321410,616,550,1166,0,0,0,1,76.73,0,Alto
347540,321418,679,519,1198,0,0,0,1,80.8,1,Alto
347540,321418,679,519,1198,0,0,0,1,80.8,1,Alto
347552,321430,577,518,1095,0,0,0,1,80.54,1,Alto
347552,321430,577,518,1095,0,0,0,1,80.54,1,Alto
347573,321451,675,676,1351,0,0,0,1,93.26,1,Alto
347573,321451,675,676,1351,0,0,0,1,93.26,1,Alto
347577,321455,689,529,1218,0,0,0,1,78.07,0,Alto
347577,321455,689,529,1218,0,0,0,1,78.07,0,Alto
347581,321459,658,726,1384,0,0,0,1,94.29,1,Alto
347581,321459,658,726,1384,0,0,0,1,94.29,1,Alto
347624,321505,642,508,1150,491,539,1030,2,86.33,1,Prepa UDEM
347675,321556,627,620,1247,0,0,0,1,79,1,Alto
347744,321625,626,654,1280,0,0,0,1,80.59,1,Alto
347772,321653,718,581,1299,0,0,0,1,88.28,0,Prepa UDEM
347785,321666,699,532,1231,638,543,1181,2,93.91,1,Prepa UDEM
347807,321688,628,521,1149,0,0,0,1,86.17,1,Prepa UDEM
347821,321702,669,618,1287,0,0,0,1,91,0,Medio
347832,321713,740,715,1455,0,0,0,1,95,1,Prepa UDEM
347862,321743,762,676,1438,0,0,0,1,85.3,1,Prepa UDEM
347865,321746,551,633,1184,0,0,0,1,86.52,0,Prepa UDEM
347870,321751,718,718,1436,0,0,0,1,97.37,1,Prepa UDEM
347883,321764,718,560,1278,0,0,0,1,86.57,1,Prepa UDEM
347923,321804,647,602,1249,563,487,1050,2,80,1,Medio
347965,321846,771,683,1454,0,0,0,1,92.28,1,Prepa UDEM
347996,321877,563,529,1092,521,570,1091,2,86.5,1,Prepa UDEM
347998,321879,621,624,1245,512,645,1157,2,95.02,0,Prepa UDEM
348021,321902,573,602,1175,0,0,0,1,89.07,1,Prepa UDEM
348279,322162,658,519,1177,0,0,0,1,80.21,1,Alto
348335,322218,742,738,1480,0,0,0,1,96.89,1,Prepa UDEM
348345,322228,718,676,1394,0,0,0,1,89.96,1,Alto
348402,322285,751,708,1459,0,0,0,1,93.06,1,Prepa UDEM
348403,322286,675,550,1225,0,0,0,1,88.83,1,Prepa UDEM
348404,322287,699,618,1317,0,0,0,1,91.96,1,Prepa UDEM
348413,322296,709,564,1273,709,564,1273,2,84.83,1,Prepa UDEM
348417,322300,710,778,1488,0,0,0,1,86.83,0,Prepa UDEM
348420,322303,626,622,1248,0,0,0,1,81.78,0,Prepa UDEM
348425,322308,679,622,1301,0,0,0,1,94.13,1,Prepa UDEM
348427,322310,626,716,1342,0,0,0,1,81.07,1,Alto
348453,322336,642,655,1297,0,0,0,1,86.39,1,Prepa UDEM
348485,322368,699,683,1382,0,0,0,1,94.76,1,Prepa UDEM
348498,322381,760,597,1357,0,0,0,1,87,0,Prepa UDEM
348544,322428,783,739,1522,0,0,0,1,95.68,1,Prepa UDEM
348550,322434,791,715,1506,0,0,0,1,91.83,1,Prepa UDEM
348552,322436,708,592,1300,0,0,0,1,89.47,1,Medio
348565,322449,626,456,1082,0,0,0,1,81.47,1,Alto
348605,322489,637,612,1249,0,0,0,1,81.96,1,Medio
348629,322513,742,633,1375,0,0,0,1,78.7,1,Prepa UDEM
348643,322527,697,676,1373,0,0,0,1,83.89,1,Prepa UDEM
348643,322527,697,676,1373,0,0,0,1,83.89,1,Prepa UDEM
348643,322527,697,676,1373,0,0,0,1,83.89,1,Prepa UDEM
348724,322608,594,560,1154,0,0,0,1,87.3,1,Prepa UDEM
348724,322608,594,560,1154,0,0,0,1,87.3,1,Prepa UDEM
348724,322608,594,560,1154,0,0,0,1,87.3,1,Prepa UDEM
348784,322668,637,633,1270,0,0,0,1,95,1,Medio
348926,322810,718,529,1247,0,0,0,1,87.24,1,Prepa UDEM
348926,322810,718,529,1247,0,0,0,1,87.24,1,Prepa UDEM
348926,322810,718,529,1247,0,0,0,1,87.24,1,Prepa UDEM
349005,322889,637,664,1301,0,0,0,1,81.54,1,Prepa UDEM
349005,322889,637,664,1301,0,0,0,1,81.54,1,Prepa UDEM
349005,322889,637,664,1301,0,0,0,1,81.54,1,Prepa UDEM
349141,323028,689,643,1332,0,0,0,1,84.33,0,Alto
349833,323724,686,687,1373,0,0,0,1,89.2,1,Prepa UDEM
349833,323724,686,687,1373,0,0,0,1,89.2,1,Prepa UDEM
349833,323724,686,687,1373,0,0,0,1,89.2,1,Prepa UDEM
349838,323729,730,532,1262,0,0,0,1,88.54,1,Prepa UDEM
349889,323780,616,529,1145,489,301,790,2,81.89,1,Prepa UDEM
349889,323780,616,529,1145,489,301,790,2,81.89,1,Prepa UDEM
349889,323780,616,529,1145,489,301,790,2,81.89,1,Prepa UDEM
349894,323785,718,645,1363,0,0,0,1,78.34,0,Bajo
350056,323948,700,654,1354,0,0,0,1,87.61,1,Bajo
350343,324237,668,602,1270,438,378,816,2,81,1,Medio
350343,324237,668,602,1270,438,378,934,2,81,1,Medio
350343,324237,668,602,1270,438,465,816,2,81,1,Medio
350343,324237,668,602,1270,438,465,934,2,81,1,Medio
350343,324237,668,602,1270,469,378,816,2,81,1,Medio
350343,324237,668,602,1270,469,378,934,2,81,1,Medio
350343,324237,668,602,1270,469,465,816,2,81,1,Medio
350343,324237,668,602,1270,469,465,934,2,81,1,Medio
350522,324416,664,645,1309,0,0,0,1,79.89,1,Medio
350525,324419,664,645,1309,545,592,1137,2,92,1,Alto
350537,324432,784,685,1469,0,0,0,1,95.89,1,Prepa UDEM
350541,324436,740,676,1416,0,0,0,1,93.35,1,Prepa UDEM
350584,324480,638,564,1202,0,0,0,1,87.02,1,Alto
350586,324482,751,655,1406,0,0,0,1,91.07,1,Prepa UDEM
350663,324559,610,518,1128,0,0,0,1,89,1,Medio
350672,324568,637,664,1301,0,0,0,1,87.43,1,Prepa UDEM
350679,324575,642,476,1118,0,0,0,1,73.22,0,Medio
350703,324600,697,613,1310,0,0,0,1,82.2,0,Prepa UDEM
350727,324624,647,654,1301,573,570,1143,2,81.71,0,Alto
350734,324631,729,666,1395,0,0,0,1,95.09,1,Prepa UDEM
350755,324652,751,729,1480,0,0,0,1,96.75,1,Medio
350757,324654,751,645,1396,599,550,1149,2,93.62,1,Prepa UDEM
350764,324661,731,622,1353,0,0,0,1,83.54,1,Alto
350765,324662,563,519,1082,0,0,0,1,82.38,1,Alto
350765,324662,563,519,1082,0,0,0,1,82.38,1,Alto
350771,324668,621,655,1276,0,0,0,1,92.85,1,Prepa UDEM
